time,anger,expectation,fear,happiness,hate,hope,sadness,wonder,credence
1400-07-05,0.0351,0.1805,0.0003,0.0365,0.0027,0.0491,0.0294,0.0111,0.0802
1400-07-06,0.0358,0.2052,0.0003,0.0406,0.0023,0.0515,0.0208,0.0118,0.091
1400-07-07,0.036,0.2037,0.0003,0.0438,0.0024,0.0532,0.0208,0.0117,0.0911
1400-07-08,0.0353,0.1912,0.0004,0.04,0.0025,0.053,0.0209,0.0112,0.0858
1400-07-09,0.0353,0.1764,0.0003,0.0404,0.0027,0.0525,0.0214,0.0116,0.0813
1400-07-10,0.0357,0.2066,0.0003,0.0409,0.0025,0.0522,0.0206,0.0115,0.092
1400-07-11,0.0354,0.196,0.0003,0.0406,0.0024,0.051,0.0196,0.0111,0.0911
1400-07-12,0.034,0.187,0.0003,0.0391,0.0024,0.0506,0.0219,0.0102,0.0867
1400-07-13,0.0358,0.1772,0.0003,0.0399,0.0028,0.056,0.0328,0.0116,0.0824
1400-07-14,0.0358,0.198,0.0003,0.0406,0.0025,0.0529,0.0274,0.0113,0.0892
1400-07-15,0.0347,0.1747,0.0003,0.0432,0.0027,0.0542,0.0272,0.0109,0.0807
1400-07-16,0.0354,0.1711,0.0003,0.0561,0.0026,0.0557,0.0216,0.0107,0.0808
1400-07-17,0.0363,0.2065,0.0003,0.0469,0.0028,0.0571,0.0217,0.0118,0.0958
1400-07-18,0.0347,0.2026,0.0003,0.0412,0.0024,0.0527,0.0205,0.0113,0.0923
1400-07-19,0.0361,0.2071,0.0003,0.0495,0.0025,0.054,0.0205,0.0117,0.0947
1400-07-20,0.0358,0.2053,0.0003,0.046,0.0025,0.0528,0.0205,0.0116,0.0917
1400-07-21,0.0352,0.2029,0.0003,0.0407,0.0025,0.0519,0.0205,0.0117,0.0919
1400-07-22,0.0342,0.1896,0.0003,0.0387,0.0027,0.0527,0.0243,0.0111,0.0856
1400-07-23,0.0349,0.1721,0.0003,0.0433,0.003,0.054,0.0233,0.0111,0.0802
1400-07-24,0.0364,0.2037,0.0003,0.0434,0.0031,0.0538,0.0205,0.012,0.0919
1400-07-25,0.0359,0.21,0.0004,0.0396,0.0027,0.0503,0.0206,0.0119,0.0927
1400-07-26,0.0363,0.2089,0.0003,0.0405,0.0024,0.0525,0.0206,0.0118,0.0926
1400-07-27,0.0355,0.205,0.0004,0.0399,0.0025,0.0522,0.02,0.0117,0.0907
1400-07-28,0.0356,0.2054,0.0003,0.0413,0.0027,0.0523,0.0207,0.0118,0.0922
1400-07-29,0.0343,0.1937,0.0003,0.0403,0.0029,0.0528,0.0201,0.011,0.0873
1400-07-30,0.0344,0.1784,0.0003,0.0407,0.0027,0.0511,0.0203,0.0111,0.0815
1400-08-01,0.036,0.199,0.0003,0.0537,0.0027,0.0554,0.0195,0.0113,0.0903
1400-08-02,0.0351,0.186,0.0004,0.0514,0.0027,0.0526,0.0202,0.0111,0.0859
1400-08-03,0.0363,0.2106,0.0003,0.0436,0.0029,0.0525,0.0208,0.012,0.0962
1400-08-04,0.0358,0.2079,0.0004,0.0398,0.0025,0.0514,0.0224,0.0118,0.0923
1400-08-05,0.0357,0.2113,0.0004,0.0395,0.0025,0.051,0.021,0.0123,0.0938
